Date;Open;High;Low;Close*;Adj Close**;Volume
Dec 09, 2020;45.60;46.24;44.95;45.52;45.52;434,976
Dec 08, 2020;45.66;45.93;45.14;45.60;45.60;332,641
Dec 07, 2020;46.15;46.54;45.36;45.76;45.76;348,871
Dec 04, 2020;45.64;46.68;45.61;46.26;46.26;335,453
Dec 03, 2020;44.99;45.84;44.66;45.64;45.64;350,768
Dec 02, 2020;44.38;45.92;43.92;45.28;45.28;368,854
Dec 01, 2020;45.08;45.70;44.12;44.55;44.55;314,919
Nov 30, 2020;45.34;45.80;44.42;45.34;45.34;370,755
Nov 27, 2020;45.90;46.09;44.55;45.53;45.53;365,128
Nov 25, 2020;44.82;46.26;44.73;45.71;45.71;417,182
Nov 24, 2020;42.84;45.20;42.82;44.91;44.91;418,527
Nov 23, 2020;42.46;43.36;42.29;43.06;43.06;300,717
Nov 20, 2020;41.70;42.32;41.51;42.15;42.15;276,34
Nov 19, 2020;41.61;41.98;41.08;41.74;41.74;88,144
Nov 18, 2020;41.35;42.46;41.08;41.82;41.82;107,013
Nov 17, 2020;41.44;41.69;40.57;41.43;41.43;243,677
Nov 16, 2020;40.17;42.09;40.15;41.34;41.34;378,785
Nov 13, 2020;40.94;40.94;40.06;40.13;40.13;338,187
Nov 12, 2020;41.47;42.19;40.87;41.12;41.12;401,031
Nov 11, 2020;41.79;43.06;41.32;41.45;41.45;443,772
Nov 10, 2020;39.91;41.84;39.41;41.36;41.36;457,045
Nov 09, 2020;37.34;41.33;37.16;40.29;40.29;622,921
Nov 06, 2020;38.54;38.61;37.06;37.14;37.14;411,026
Nov 05, 2020;39.17;39.35;38.27;38.79;38.79;298,366
Nov 04, 2020;38.15;39.25;37.26;39.15;39.15;437
Nov 03, 2020;37.03;38.32;36.57;37.66;37.66;410,611
Nov 02, 2020;35.24;37.15;33.64;36.81;36.81;489,204
Oct 29, 2020;36.07;36.60;35.21;35.79;35.79;388,971
Oct 28, 2020;37.39;37.76;34.92;36.17;36.17;568,816
Oct 27, 2020;38.97;39.01;36.97;37.39;37.39;489,954
Oct 26, 2020;38.59;39.83;38.51;39.57;39.57;339,535
Oct 25, 2020;39.69;39.74;38.28;38.56;38.56;360,184
Oct 22, 2020;40.61;40.92;39.57;39.85;39.85;268,931
Oct 21, 2020;40.04;41.02;39.71;40.64;40.64;307,494
Oct 20, 2020;41.22;41.59;39.78;40.03;40.03;366,899
Oct 19, 2020;40.65;41.70;40.25;41.46;41.46;360,574
Oct 18, 2020;40.69;41.22;40.54;40.83;40.83;75,335
Oct 15, 2020;40.88;41.05;40.08;40.88;40.88;96,488
Oct 14, 2020;41.13;41.29;39.22;40.96;40.96;248,251
Oct 13, 2020;40.19;41.16;39.82;41.04;41.04;328,295
Oct 12, 2020;39.53;40.53;39.35;40.20;40.20;375,47
Oct 11, 2020;40.40;40.45;39.04;39.43;39.43;322,035
Oct 08, 2020;41.31;41.47;40.38;40.60;40.60;331,703
Oct 07, 2020;39.99;41.33;39.76;41.19;41.19;409,787
Oct 06, 2020;39.83;40.35;39.28;39.95;39.95;433,065
Oct 05, 2020;39.35;40.86;39.10;40.67;40.67;400,531
Oct 04, 2020;37.00;39.72;37.00;39.22;39.22;378,579
Oct 01, 2020;38.60;38.65;36.63;37.05;37.05;391,428
Sep 30, 2020;39.90;40.47;37.61;38.72;38.72;443,442
Sep 29, 2020;39.16;40.37;38.68;40.22;40.22;340,294
Sep 28, 2020;40.58;40.70;38.41;39.29;39.29;379,599
Sep 27, 2020;40.07;40.80;39.78;40.60;40.60;226,425
Sep 24, 2020;40.15;40.64;39.71;40.25;40.25;229,025
Sep 23, 2020;39.60;40.37;39.12;40.31;40.31;269,992
Sep 22, 2020;39.76;40.75;39.26;39.93;39.93;318,754
Sep 21, 2020;39.63;40.02;39.00;39.60;39.60;287,807
Sep 20, 2020;40.98;41.27;38.66;39.31;39.31;66,195
Sep 17, 2020;40.97;41.49;40.30;41.11;41.11;85,906
Sep 16, 2020;40.19;41.22;39.42;40.97;40.97;280,669
Sep 15, 2020;38.35;40.34;38.35;40.16;40.16;367,612
Sep 14, 2020;37.28;38.57;37.06;38.28;38.28;348,861
Sep 13, 2020;37.32;37.68;36.82;37.26;37.26;347,563
Sep 10, 2020;37.01;37.82;36.67;37.33;37.33;363,787
Sep 09, 2020;37.80;38.18;36.93;37.30;37.30;367,555
Sep 08, 2020;36.79;38.45;36.16;38.05;38.05;455,356
Sep 07, 2020;39.48;39.59;36.13;36.76;36.76;720,975
Sep 03, 2020;41.25;41.87;39.35;39.77;39.77;444,184
Sep 02, 2020;41.63;41.79;40.22;41.37;41.37;417,634
Sep 01, 2020;43.02;43.21;41.23;41.51;41.51;421,771
Aug 31, 2020;42.83;43.43;42.72;42.76;42.76;285,146
Aug 30, 2020;42.91;43.57;42.56;42.61;42.61;236,877
Aug 27, 2020;42.98;43.42;42.69;42.97;42.97;272,8
Aug 26, 2020;43.45;43.50;42.36;43.04;43.04;320,968
Aug 25, 2020;43.39;43.78;43.00;43.39;43.39;262,243
Aug 24, 2020;42.36;43.57;42.31;43.35;43.35;330,8
Aug 23, 2020;42.48;42.89;42.23;42.62;42.62;294,731
Aug 20, 2020;42.75;42.96;41.46;42.34;42.34;345,368
Aug 19, 2020;42.74;42.79;41.50;42.58;42.58;377,07
Aug 18, 2020;42.60;43.03;42.36;42.93;42.93;81,299
Aug 17, 2020;42.79;42.99;42.11;42.89;42.89;111,628
Aug 16, 2020;42.24;42.97;41.80;42.89;42.89;208,429
Aug 13, 2020;42.33;42.57;41.62;42.01;42.01;310,866
Aug 12, 2020;42.57;42.84;42.09;42.24;42.24;329,507
Aug 11, 2020;41.62;42.90;41.53;42.67;42.67;397,831
Aug 10, 2020;41.98;42.94;41.48;41.61;41.61;432,843
Aug 09, 2020;41.50;42.33;41.17;41.94;41.94;367,796
Aug 06, 2020;41.97;42.22;41.06;41.22;41.22;398,997
Aug 05, 2020;42.19;42.65;41.61;41.95;41.95;359,61
Aug 04, 2020;41.56;43.52;41.47;42.19;42.19;491,268
Aug 03, 2020;40.78;42.08;40.14;41.70;41.70;451,575
Aug 02, 2020;40.39;41.24;39.58;41.01;41.01;338,326
Jul 30, 2020;40.34;40.55;39.66;40.27;40.27;318,788
Jul 29, 2020;41.32;41.39;38.72;39.92;39.92;487,325
Jul 28, 2020;41.13;41.57;40.93;41.27;41.27;295,855
Jul 27, 2020;41.65;41.93;40.85;41.04;41.04;276,804
Jul 26, 2020;41.26;41.82;40.48;41.60;41.60;377,714
Jul 23, 2020;41.06;41.67;40.66;41.29;41.29;353,159
Jul 22, 2020;41.95;42.36;40.83;41.07;41.07;389,412
Jul 21, 2020;41.54;42.03;41.14;41.90;41.90;333,647
Jul 20, 2020;40.65;42.40;40.64;41.96;41.96;389,117
Jul 19, 2020;40.64;40.91;39.83;40.81;40.81;60,179
Jul 16, 2020;40.72;40.90;40.02;40.59;40.59;88,22
Jul 15, 2020;40.97;41.18;40.52;40.75;40.75;200,101
Jul 14, 2020;40.55;41.26;40.08;41.20;41.20;352,542
Jul 13, 2020;39.60;40.57;39.07;40.29;40.29;426,971
Jul 12, 2020;40.35;40.72;39.47;40.10;40.10;370,715
Jul 09, 2020;39.58;40.77;38.54;40.55;40.55;393,149
Jul 08, 2020;40.87;40.99;39.27;39.62;39.62;367,386
Jul 07, 2020;40.48;41.08;40.30;40.90;40.90;286,74
Jul 06, 2020;40.68;40.95;39.90;40.62;40.62;256,596
Jul 05, 2020;40.38;41.08;39.84;40.63;40.63;373,236
Jul 01, 2020;39.78;40.74;39.46;40.65;40.65;347,096
Jun 30, 2020;39.84;40.58;39.05;39.82;39.82;407,17
Jun 29, 2020;39.64;40.08;38.85;39.27;39.27;370,059
Jun 28, 2020;37.96;39.89;37.50;39.70;39.70;343,913
Jun 25, 2020;39.09;39.35;37.79;38.49;38.49;356,712
Jun 24, 2020;38.05;39.23;37.08;38.72;38.72;451,64
Jun 23, 2020;39.99;40.54;37.31;38.01;38.01;499,49
Jun 22, 2020;40.68;41.63;39.76;40.37;40.37;368,73
Jun 21, 2020;39.18;40.70;39.12;40.46;40.46;315,264
Jun 18, 2020;38.85;40.49;38.40;39.75;39.75;64,113
Jun 17, 2020;37.74;38.97;37.11;38.84;38.84;113,384
Jun 16, 2020;37.93;38.75;37.21;37.96;37.96;239,516
Jun 15, 2020;37.05;39.06;36.38;38.38;38.38;366,323
Jun 14, 2020;36.03;37.26;34.36;37.12;37.12;387,546
Jun 11, 2020;36.26;36.99;34.48;36.26;36.26;406,508
Jun 10, 2020;39.09;39.09;35.41;36.34;36.34;513,912
Jun 09, 2020;38.50;39.91;37.73;39.60;39.60;385,868
Jun 08, 2020;38.22;39.10;37.07;38.94;38.94;396,033
Jun 07, 2020;39.41;40.44;37.96;38.19;38.19;416,639
Jun 04, 2020;37.33;39.68;37.05;39.55;39.55;396,856
Jun 03, 2020;36.76;37.62;36.38;37.41;37.41;307,612
Jun 02, 2020;36.86;38.18;35.88;37.29;37.29;494,253
Jun 01, 2020;35.56;37.06;35.28;36.81;36.81;343,483
May 31, 2020;35.21;35.90;34.27;35.44;35.44;385,71
May 28, 2020;33.68;35.77;32.36;35.49;35.49;443,647
May 27, 2020;32.10;34.21;31.14;33.71;33.71;440,168
May 26, 2020;34.14;34.32;31.75;32.81;32.81;415,246
May 25, 2020;33.30;34.81;32.48;34.35;34.35;466,737
May 21, 2020;33.95;34.00;30.72;33.25;33.25;429,036
May 20, 2020;33.53;34.66;33.26;33.92;33.92;372,814
May 19, 2020;31.89;33.78;31.56;33.49;33.49;406,431
May 18, 2020;32.83;33.44;31.34;32.50;32.50;430,823
May 17, 2020;29.53;33.32;29.53;31.82;31.82;89,376
May 14, 2020;27.64;29.92;27.24;29.43;29.43;108,016
May 13, 2020;25.56;27.96;25.18;27.56;27.56;160,507
May 12, 2020;25.30;26.45;24.79;25.29;25.29;150,864
May 11, 2020;24.49;26.23;24.22;25.78;25.78;212,335
May 10, 2020;24.49;25.58;23.67;24.14;24.14;179,591
