Date,Open,High,Low,Close_,Adj_Close__,Volume
"Jan 19, 2021",68.6,68.6,68.6,68.6,68.6,-
"May 29, 2019",72.6,72.6,72.6,72.6,72.6,-
"Jul 11, 2021",76.6,76.6,76.6,76.6,76.6,-
"Jul 08, 2021",76.6,76.6,76.6,76.6,76.6,-
"May 23, 2021",76.6,76.6,76.6,76.6,76.6,-
"Dec 02, 2019",76.6,76.6,76.6,76.6,76.6,-
"Oct 06, 2019",76.6,76.6,76.6,76.6,76.6,-
"Apr 14, 2019",76.6,76.6,76.6,76.6,76.6,-
"Feb 19, 2019",76.6,76.6,76.6,76.6,76.6,-
"Feb 01, 2019",80.6,80.6,80.6,80.6,80.6,-
"Jun 21, 2023",112.6,112.6,112.6,112.6,112.6,-
"May 03, 2023",124.6,124.6,124.6,124.6,124.6,-
"Mar 16, 2023",129.2,129.2,129.2,129.2,129.2,-
"Oct 24, 2023",129.45,129.45,129.45,129.45,129.45,-
"Mar 18, 2020",64.85,64.85,64.85,64.85,64.85,-
"Jul 08, 2020",68.85,68.85,68.85,68.85,68.85,-
"Apr 26, 2021",72.85,72.85,72.85,72.85,72.85,-
"Oct 22, 2019",76.85,76.85,76.85,76.85,76.85,-
"Dec 23, 2022",185.7,185.7,185.7,185.7,185.7,-
"Oct 25, 2020",65.1,65.1,65.1,65.1,65.1,-
"Dec 27, 2019",73.1,73.1,73.1,73.1,73.1,-
"Dec 26, 2019",73.1,73.1,73.1,73.1,73.1,-
"Dec 24, 2019",73.1,73.1,73.1,73.1,73.1,-
"Mar 13, 2019",73.1,73.1,73.1,73.1,73.1,-
"Dec 03, 2019",77.1,77.1,77.1,77.1,77.1,-
"Oct 23, 2019",77.1,77.1,77.1,77.1,77.1,-
"Jul 07, 2019",77.1,77.1,77.1,77.1,77.1,-
"Apr 22, 2019",77.1,77.1,77.1,77.1,77.1,-
"Oct 04, 2022",260.65,260.65,260.65,260.65,260.65,-
"Sep 06, 2022",308.65,308.65,308.65,308.65,308.65,-
"Sep 29, 2022",277.15,277.15,277.15,277.15,277.15,-
"Aug 23, 2022",293.15,293.15,293.15,293.15,293.15,-
"Jun 01, 2020",65.35,65.35,65.35,65.35,65.35,-
"Jul 07, 2020",69.35,69.35,69.35,69.35,69.35,-
"Jun 30, 2020",69.35,69.35,69.35,69.35,69.35,-
"Jan 03, 2020",73.35,73.35,73.35,73.35,73.35,-
"Aug 07, 2019",73.35,73.35,73.35,73.35,73.35,-
"Jul 01, 2019",73.35,73.35,73.35,73.35,73.35,-
"Jul 13, 2021",77.35,77.35,77.35,77.35,77.35,-
"Jun 24, 2021",77.35,77.35,77.35,77.35,77.35,-
"Apr 21, 2019",77.35,77.35,77.35,77.35,77.35,-
"Apr 17, 2019",77.35,77.35,77.35,77.35,77.35,-
"Oct 25, 2023",130.95,130.95,130.95,130.95,130.95,-
"Feb 17, 2021",62.8,62.8,62.8,62.8,62.8,-
"Feb 09, 2021",65.6,65.6,65.6,65.6,65.6,-
"May 13, 2020",65.6,65.6,65.6,65.6,65.6,-
"Aug 05, 2019",73.6,73.6,73.6,73.6,73.6,-
